date,reason,asian_high,asian_low,range_pips,w1_close,w1_ema,trend,london_close_07,london_close_08,london_close_09,signal_dir,entry_price
2015-03-10,no_breakout_in_window,1.5128,1.50697,58.3,1.50333,1.56183,short,1.50855,1.50873,1.50855,0,
2015-03-11,no_breakout_in_window,1.50862,1.50537,32.5,1.50333,1.56183,short,1.50747,1.5079,1.50841,0,
2015-03-12,no_breakout_in_window,1.49406,1.49098,30.8,1.50333,1.56183,short,1.49406,1.49628,1.5004,0,
2015-03-13,signal_short,1.48962,1.48603,35.9,1.50333,1.56183,short,1.48646,1.48569,1.48748,-1,1.48603
2015-03-16,no_breakout_in_window,1.47713,1.47342,37.1,1.47397,1.55533,short,1.47684,1.4776,1.47731,0,
2015-03-17,no_breakout_in_window,1.48333,1.48116,21.7,1.47397,1.55533,short,1.48214,1.48354,1.48257,0,
2015-03-18,no_breakout_in_window,1.47702,1.47427,27.5,1.47397,1.55533,short,1.47541,1.47553,1.47549,0,
2015-03-19,range_too_large,1.50094,1.48811,128.3,,,,,,,0,
2015-03-20,signal_short,1.47763,1.47432,33.1,1.47397,1.55533,short,1.47603,1.47512,1.47329,-1,1.47432
2015-03-23,signal_short,1.49729,1.49169,56.0,1.4945,1.55082,short,1.49363,1.49036,1.48747,-1,1.49169
2015-03-24,no_breakout_in_window,1.49733,1.49194,53.9,1.4945,1.55082,short,1.494,1.49267,1.49435,0,
2015-03-25,no_breakout_in_window,1.48766,1.48303,46.3,1.4945,1.55082,short,1.48611,1.48512,1.48944,0,
2015-03-26,no_breakout_in_window,1.48972,1.48715,25.7,1.4945,1.55082,short,1.48831,1.48845,1.49274,0,
2015-03-27,signal_short,1.48664,1.48409,25.5,1.4945,1.55082,short,1.48447,1.48417,1.4805,-1,1.48409
2015-03-30,signal_short,1.49003,1.48513,49.0,1.487,1.54609,short,1.48507,1.48577,1.48122,-1,1.48513
2015-03-31,signal_short,1.48151,1.4779,36.1,1.487,1.54609,short,1.47812,1.4777,1.47804,-1,1.4779
2015-04-01,no_breakout_in_window,1.48704,1.48174,53.0,1.487,1.54609,short,1.48622,1.48564,1.48466,0,
2015-04-02,no_breakout_in_window,1.484,1.48164,23.6,1.487,1.54609,short,1.48329,1.48359,1.4846,0,
2015-04-03,no_breakout_in_window,1.48377,1.48202,17.5,1.487,1.54609,short,1.48267,1.48382,1.48283,0,
2015-04-06,no_breakout_in_window,1.49329,1.48977,35.2,1.49179,1.54207,short,1.4917,1.49172,1.49206,0,
2015-04-07,no_breakout_in_window,1.4908,1.48736,34.4,1.49179,1.54207,short,1.48926,1.49158,1.48896,0,
2015-04-08,no_breakout_in_window,1.48362,1.48066,29.6,1.49179,1.54207,short,1.48382,1.4837,1.48631,0,
2015-04-09,no_breakout_in_window,1.48828,1.48513,31.5,1.49179,1.54207,short,1.48715,1.48606,1.48674,0,
2015-04-10,signal_short,1.47241,1.47035,20.6,1.49179,1.54207,short,1.47131,1.47105,1.46931,-1,1.47035
2015-04-13,signal_short,1.46488,1.46113,37.5,1.4631,1.53622,short,1.46008,1.45838,1.45976,-1,1.46113
2015-04-14,signal_short,1.46915,1.46595,32.0,1.4631,1.53622,short,1.46564,1.46597,1.46733,-1,1.46595
2015-04-15,no_breakout_in_window,1.47819,1.47477,34.2,1.4631,1.53622,short,1.47532,1.4758,1.47603,0,
2015-04-16,no_breakout_in_window,1.48793,1.48221,57.2,1.4631,1.53622,short,1.48364,1.4827,1.48301,0,
2015-04-17,no_breakout_in_window,1.49471,1.49189,28.2,1.4631,1.53622,short,1.4932,1.49336,1.49341,0,
2015-04-20,no_breakout_in_window,1.49831,1.49479,35.2,1.49595,1.53324,short,1.49531,1.49565,1.49494,0,
2015-04-21,signal_short,1.49116,1.48799,31.7,1.49595,1.53324,short,1.48919,1.48852,1.48632,-1,1.48799
2015-04-22,no_breakout_in_window,1.49366,1.49127,23.9,1.49595,1.53324,short,1.49425,1.49399,1.49433,0,
2015-04-23,signal_short,1.50399,1.50119,28.0,1.49595,1.53324,short,1.50254,1.50284,1.49947,-1,1.50119
2015-04-24,no_breakout_in_window,1.5063,1.50268,36.2,1.49595,1.53324,short,1.50468,1.50535,1.51146,0,
2015-04-27,signal_short,1.51868,1.51649,21.9,1.51855,1.53215,short,1.51783,1.5182,1.51426,-1,1.51649
2015-04-28,no_breakout_in_window,1.52376,1.52172,20.4,1.51855,1.53215,short,1.52326,1.52375,1.52337,0,
2015-04-29,no_breakout_in_window,1.53456,1.53274,18.2,1.51855,1.53215,short,1.53357,1.53416,1.53709,0,
2015-04-30,signal_short,1.54441,1.54191,25.0,1.51855,1.53215,short,1.5422,1.54145,1.54294,-1,1.54191
2015-05-01,no_breakout_in_window,1.53587,1.53365,22.2,1.51855,1.53215,short,1.53484,1.53526,1.53523,0,
